layer,cosine_similarity,magnitude_ratio,prompted_magnitude,steering_magnitude,prompted_participation_ratio,steering_participation_ratio,prompted_effective_dim,steering_effective_dim,prompted_top10_concentration,steering_top10_concentration
0,0.4041166603565216,0.7692158222198486,0.2930572032928467,0.38098177313804626,0.05063046142458916,0.0566498227417469,0.6924997568130493,0.6325877904891968,0.3100147545337677,0.3620791733264923
1,0.34095898270606995,0.693841814994812,0.39868491888046265,0.5746049284934998,0.045006413012742996,0.05510682612657547,0.6929206252098083,0.6378359794616699,0.31245988607406616,0.35509607195854187
2,0.2929363548755646,0.6927644610404968,0.5469207763671875,0.7894757986068726,0.039704374969005585,0.053479015827178955,0.7003594636917114,0.6436833143234253,0.3004924952983856,0.34704384207725525
3,0.3201166093349457,0.584350049495697,0.6986328959465027,1.1955726146697998,0.04445439949631691,0.05471382290124893,0.6810747385025024,0.6417807340621948,0.31353288888931274,0.352863073348999
4,0.4091850519180298,0.4849591851234436,0.9189130663871765,1.8948255777359009,0.1173112764954567,0.0699957013130188,0.6935757994651794,0.685191810131073,0.3062489926815033,0.3199023902416229
5,0.4211288392543793,0.47848737239837646,1.1869126558303833,2.4805517196655273,0.09678780287504196,0.05606923624873161,0.6916226148605347,0.6558013558387756,0.31478363275527954,0.33967146277427673
6,0.5666531324386597,0.5043134689331055,1.6784840822219849,3.3282556533813477,0.009181642904877663,0.002744512865319848,0.655802309513092,0.5819247364997864,0.3345485031604767,0.3845905065536499
7,0.553546667098999,0.5530428886413574,2.0219287872314453,3.6560070514678955,0.0063241333700716496,0.0033086452167481184,0.6562649011611938,0.5551760792732239,0.3311767578125,0.40816324949264526
8,0.4464314579963684,0.5739086270332336,2.2469429969787598,3.9151580333709717,0.02674981951713562,0.00425564032047987,0.6835050582885742,0.5603545904159546,0.3155773878097534,0.4085220396518707
9,0.46413454413414,0.6358712315559387,2.5734941959381104,4.047194004058838,0.015894627198576927,0.005068076308816671,0.6934792399406433,0.5497472882270813,0.31033816933631897,0.41466596722602844
10,0.4479086995124817,0.6161061525344849,2.615471839904785,4.245164394378662,0.04216618090867996,0.004606553819030523,0.6810299158096313,0.5516552925109863,0.3205946087837219,0.4124234914779663
11,0.4690658152103424,0.6931480169296265,3.1132993698120117,4.4915361404418945,0.030127832666039467,0.0054296404123306274,0.6898062825202942,0.5631307363510132,0.3110949397087097,0.40287652611732483
12,0.4637090265750885,0.6334074139595032,3.1777114868164062,5.016852378845215,0.030788782984018326,0.006884085480123758,0.6808221340179443,0.5676870942115784,0.31979823112487793,0.40084221959114075
13,0.4532822370529175,0.6186380982398987,3.157407522201538,5.103804111480713,0.02886115573346615,0.005991136189550161,0.6550887823104858,0.5533579587936401,0.33554521203041077,0.4153268039226532
14,0.46378204226493835,0.6208548545837402,3.29044771194458,5.299866199493408,0.030834844335913658,0.005246334709227085,0.6419049501419067,0.5135827660560608,0.3482877016067505,0.44639652967453003
15,0.4601113200187683,0.6394426226615906,3.410623073577881,5.333743572235107,0.03269623965024948,0.005737008526921272,0.6435304880142212,0.5039025545120239,0.3466864228248596,0.4523422420024872
